nome;documento;email;endereco;cep;data do cadastro;
nome;documento;email;endereco;cep;data do cadastro;
nome;documento;email;endereco;cep;data do cadastro;
nome;documento;email;endereco;cep;data do cadastro;
nome;documento;email;endereco;cep;data do cadastro;
nom;documento;email;endereco;cep;data do cadastro;
teste;440.630.768-06;brunohafonso@gmail.com;rua teste 44 ;12345-123;30/10/2017 21:59:49;
teste;440.630.768-06;teste@teste.com;rua batuira 11 ;12345-123;30/10/2017 22:00:15;
teste;;teste@teste.com;rua tes 11 ;12345-123;30/10/2017 22:06:18;
1;103.340.704-65;teste@teste.com;rua teste 14 ;12345-123;30/10/2017 23:03:12;
1;222.222.222-22;teste@teste;rua tes 69 ;12345-123;30/10/2017 23:04:44;
